log_id,rice_id,integration_name,integration_identifier,integration_version,instance_id,invoked_by,service_instance_name,oic_base_url,integration_status,log_timestamp,db_user,login_role,database_name,client_ip,client_port,server_ip,server_port,backend_pid,application_name
10,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,yhng24tkEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-07-29 21:17:31.214652,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
11,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,yhng24tkEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-07-29 21:18:22.285375,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
12,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,fuKzs4tlEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-07-29 21:22:32.34196,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
13,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,fuKzs4tlEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-07-29 21:23:22.194397,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
14,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,7d7feotlEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-07-29 21:25:32.832152,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
15,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,7d7feotlEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-07-29 21:25:35.434687,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
16,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,-YsncotlEfGAZaWl2uk7sw,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-07-29 21:25:52.315177,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
17,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,-YsncotlEfGAZaWl2uk7sw,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-07-29 21:25:54.460977,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
18,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,DBFH7otmEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-07-29 21:26:23.358624,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
19,OC_SPB_IN_001,OC_SPB_IN_001_Validate_Data,OC_SPB_IN_001_VALID_DATA,01.00.0000,DBFH7otmEfG5afcGVCuQhA,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-07-29 21:26:25.461766,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,56652,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,480520,PostgreSQL JDBC Driver
